billing_id ,card_number      ,total_amount ,billing_date
         1 ,1234567812345678 ,        1597 ,2023-10-25
         2 ,2345678923456789 ,         747 ,2023-10-25
         3 ,3456789034567890 ,        2998 ,2023-10-25
         4 ,4567890145678901 ,         398 ,2023-10-25
         5 ,5678901256789012 ,       15997 ,2023-10-25
         6 ,6789012367890123 ,        7347 ,2023-10-25
         7 ,7890123478901234 ,       29998 ,2023-10-25
         8 ,8901234589012345 ,        3998 ,2023-10-25
         9 ,9012345690123456 ,       19497 ,2023-09-25
        10 ,0123456701234567 ,        8247 ,2023-09-25
        11 ,1234567812345672 ,       31998 ,2023-09-25
        12 ,2345678923456783 ,        6598 ,2023-09-25
        13 ,3456789034567894 ,       16797 ,2023-09-25
        14 ,4567890145678905 ,        9147 ,2023-09-25
        15 ,5678901256789018 ,       20997 ,2023-10-25
        16 ,6789012367890139 ,        8847 ,2023-10-25
        17 ,7890123478901240 ,       33998 ,2023-10-25
        18 ,8901234589012351 ,        7198 ,2023-10-25
        19 ,1234567800000001 ,       22497 ,2023-10-25
        20 ,1234567800000002 ,        9447 ,2023-10-25
        21 ,1234567800000003 ,       35998 ,2023-10-25
        22 ,1234567800000004 ,        7798 ,2023-10-25
        23 ,1234567800000005 ,       23997 ,2023-10-25
        24 ,1234567800000006 ,       10047 ,2023-10-25
        25 ,1234567800000007 ,       37998 ,2023-10-25
        26 ,1234567800000008 ,        8398 ,2023-10-25
        27 ,1234567800000009 ,       25497 ,2023-10-25
        28 ,1234567800000010 ,       10647 ,2023-10-25
        29 ,1234567800000011 ,       31497 ,2023-11-25
        30 ,1234567800000012 ,       14498 ,2023-11-25
        31 ,1234567800000013 ,       36998 ,2023-11-25
        32 ,1234567800000014 ,       13998 ,2023-11-25
        33 ,1234567800000015 ,       24997 ,2023-11-25
        34 ,1234567800000016 ,       10447 ,2023-11-25
        35 ,1234567800000017 ,       38998 ,2023-11-25
        36 ,1234567800000018 ,        9998 ,2023-11-25
        37 ,1234567800000019 ,       27497 ,2023-11-25
        38 ,1234567800000020 ,       11647 ,2023-11-25
        39 ,1234567800000021 ,       32998 ,2023-11-25
        40 ,1234567800000022 ,        3749 ,2023-11-25
        41 ,1234567800000023 ,       22998 ,2023-11-25
        42 ,1234567800000024 ,       23998 ,2023-11-25
        43 ,1234567800000025 ,           0 ,2023-11-25
        44 ,1234567800000026 ,        3199 ,2023-11-25
        45 ,1234567800000027 ,           0 ,2023-11-25
