transaction_id,card_number,transaction_amount,transaction_date,store_id
1,3133935504405905,2307,2023-07-08 19:53:28,52
2,3750469882598634,456,2023-11-27 20:40:16,61
3,1983358620105369,23097,2023-08-02 08:56:20,24
4,5251986149181927,48477,2023-05-24 04:00:24,24
5,0174632702029015,39164,2023-10-29 13:29:59,79
6,7436151105026905,18135,2023-06-18 04:00:21,88
7,8072018021054310,30229,2023-11-06 06:00:22,18
8,6182336670636094,17814,2023-10-16 02:28:43,24
9,7284017274822913,8208,2023-05-12 19:10:27,85
10,2646198537357607,9247,2023-08-05 19:06:24,11
11,8493363482829888,29544,2023-07-28 14:59:10,61
12,9229921141497949,42699,2023-03-13 14:29:24,2
13,2082965708693058,12912,2023-11-08 12:17:44,45
14,2701855653167998,16266,2023-11-13 17:45:11,6
15,0869141314562087,16978,2023-10-18 19:54:11,24
16,5241773747372939,2521,2022-12-20 20:21:13,57
17,4802362382923840,23588,2023-08-25 00:59:22,75
18,7706777111312637,41206,2023-11-21 16:37:29,84
19,6347680647266699,17820,2022-12-12 23:41:35,42
20,6398308378799555,22447,2023-09-26 13:41:50,49
21,9832041643774862,20895,2023-02-21 13:31:22,25
22,9515079259447072,20021,2023-04-09 08:24:50,85
23,9997405871841950,32160,2023-06-27 17:42:24,93
24,7229575013901643,12992,2023-07-22 08:43:12,7
25,9361534926351108,18361,2023-03-21 17:10:59,46
26,3578683361770730,10349,2023-04-21 02:18:22,80
27,8658117477048875,38248,2023-01-07 09:04:49,61
28,9569286635643343,25213,2023-06-22 13:17:47,32
29,1922444151031958,1702,2023-11-11 20:08:38,20
30,5695157012244232,36174,2023-03-24 15:32:12,35
31,2906220058000199,26697,2023-10-29 07:11:47,39
32,2197859380378628,43800,2023-04-09 11:47:44,34
33,0869141314562087,47692,2023-10-08 21:29:11,45
34,6860237324556184,37057,2023-05-20 08:58:02,47
35,8839831861804550,22623,2023-05-11 02:04:40,67
36,2425736580559737,21532,2023-10-23 11:32:48,91
37,8651507834606772,14709,2023-05-10 21:36:04,93
38,8658117477048875,33333,2023-01-06 01:44:36,31
39,4364000415584038,1288,2023-02-14 12:08:01,66
40,7710864081155170,20738,2023-08-18 19:51:41,91
41,4844369774509994,49058,2023-12-11 05:10:06,27
42,4761951753990157,17428,2023-01-31 08:09:56,45
43,5251986149181927,25759,2023-03-15 16:38:27,45
44,4311930464189002,35571,2023-04-03 09:18:25,49
45,7229575013901643,21101,2023-09-22 04:25:21,43
46,9272730808776475,28652,2023-10-31 05:03:27,52
47,5911534757788115,15399,2023-04-21 14:47:06,83
48,3600129592008292,45962,2023-01-03 10:59:57,14
49,7299869300690281,5700,2022-12-26 20:22:38,44
50,6215271250144429,30207,2023-06-17 19:46:27,19
51,2826605459039055,32068,2023-05-24 04:14:36,70
52,1922444151031958,5557,2023-02-05 14:46:42,33
53,1756360906143521,10803,2023-06-21 21:38:47,16
54,7396574727455966,21419,2023-11-23 12:29:31,71
55,3991615109032173,22435,2023-11-13 04:13:25,65
56,6604876475938242,10165,2023-08-03 16:11:09,47
57,7263662879509833,6793,2023-09-17 10:08:00,77
58,1545938805880270,25482,2023-01-13 14:11:59,86
59,3186457325857675,17433,2023-08-31 11:19:58,7
60,8778408016097535,39528,2023-09-10 05:46:20,45
61,2826605459039055,37233,2023-02-09 16:21:19,88
62,7396574727455966,21058,2023-10-23 13:53:09,4
63,5062120843539136,39956,2023-04-28 21:31:17,1
64,6462298713959404,25520,2023-05-21 13:33:14,31
65,7826528592113137,45114,2022-12-26 13:20:56,86
66,2094207716710763,31842,2023-08-07 11:34:02,38
67,4982179662001179,8406,2023-06-11 23:29:04,50
68,3523376960696027,14366,2023-05-12 01:35:47,30
69,5372189975215245,49875,2023-06-09 02:32:35,85
70,2696116116207660,6181,2022-12-31 03:49:41,87
71,0105249874867531,4808,2023-01-21 07:18:59,44
72,4561604846957400,46314,2023-06-13 18:27:18,17
73,4199134628745264,7640,2023-10-11 02:19:05,15
74,1756360906143521,6814,2023-02-09 16:17:58,23
75,7621465546530625,12759,2022-12-20 17:59:20,26
76,3600129592008292,24237,2022-12-25 12:02:59,11
77,9515079259447072,16460,2023-08-02 06:00:44,85
78,7621465546530625,44333,2023-08-09 16:02:19,36
79,1461795956110289,46919,2023-02-02 10:19:17,26
80,5931817897459130,12735,2023-08-14 13:09:40,36
81,4561604846957400,5274,2023-04-17 16:31:20,28
82,4289864291464690,40542,2023-01-22 18:50:59,90
83,4561604846957400,45753,2023-09-10 18:39:55,62
84,9541039098527419,4736,2023-07-14 03:50:26,76
85,1270554660433192,49955,2023-08-21 22:29:45,1
86,2676493808627920,20143,2023-04-26 12:37:46,85
87,2906220058000199,13905,2023-02-26 14:44:08,3
88,5239787627420545,42617,2023-05-10 19:07:40,90
89,3827490778286199,30762,2023-10-13 03:25:30,100
90,2830793393041656,46375,2023-10-10 10:12:27,79
91,0361067931402790,34616,2023-10-10 19:54:40,45
92,6196711726268056,14946,2023-06-21 07:33:37,52
93,4584467116323458,9232,2023-01-25 00:00:57,77
94,3463798852609693,49935,2023-11-20 03:32:35,66
95,0174632702029015,10597,2023-01-05 06:11:21,64
96,2648629645137580,13733,2023-08-06 20:10:40,64
97,1015348184118940,31026,2023-09-11 01:32:29,96
98,6630920665660479,27440,2023-06-12 07:57:40,33
99,6066953258386126,48506,2023-08-08 11:25:41,1
100,0808389502181326,42651,2023-08-15 11:01:50,63
101,0367465641293300,2754,2023-12-10 14:10:23,10
102,8651507834606772,43021,2023-04-23 02:34:59,94
103,4217610471428512,22675,2023-08-22 12:17:23,72
104,7391812240512989,28701,2023-01-30 04:13:53,74
105,4272333800775210,31988,2023-09-03 23:05:12,100
106,0351056237625425,13308,2023-09-16 00:50:28,85
107,5082492694711801,24345,2023-08-11 11:15:32,50
108,4802362382923840,22670,2023-04-06 23:58:15,68
109,1029832562847314,22332,2023-10-15 03:25:19,18
110,3196618383371318,9926,2023-11-07 15:55:46,16
111,5883353970697085,23487,2023-01-31 06:11:33,12
112,8493363482829888,23106,2023-12-01 23:53:10,52
113,5334448647530481,20658,2023-05-12 10:34:09,75
114,9664440644888553,25637,2023-10-19 07:50:59,65
115,8486976296219127,16696,2023-04-05 23:53:49,46
116,0925160759944976,37067,2023-12-03 23:27:35,8
117,3478978443019126,12806,2023-09-28 12:39:40,61
118,0190443294316756,20702,2023-11-16 18:03:45,29
119,9066493458771652,29130,2023-09-03 08:53:23,22
120,4199134628745264,41079,2023-10-23 13:32:06,27
121,4983269757920966,34307,2023-01-29 02:24:00,71
122,9743605521847092,12362,2023-07-02 10:56:54,63
123,2701855653167998,8665,2023-11-12 01:15:32,61
124,7263662879509833,36672,2023-10-13 22:44:21,94
125,0201557335974827,44943,2023-02-24 08:14:43,79
126,2791047438825422,33021,2022-12-27 17:21:15,98
127,7284017274822913,2270,2023-10-12 15:16:53,27
128,7436151105026905,4390,2023-05-14 03:24:01,91
129,2645466984976327,20701,2023-06-03 13:13:55,49
130,6948090668533211,26122,2023-05-06 04:50:29,80
131,8045550652470884,26528,2023-10-02 17:37:26,5
132,6446553144313682,20928,2023-02-24 20:49:45,19
133,2780818501169597,17284,2023-06-07 18:44:24,82
134,2701855653167998,10785,2023-04-30 08:46:19,75
135,4006528222239507,30350,2023-10-15 12:40:13,100
136,4289864291464690,6645,2023-08-15 08:14:30,77
137,7649035552636004,23121,2023-01-11 03:39:55,79
138,7465982112641894,40932,2022-12-30 05:31:59,29
139,2826605459039055,41997,2023-11-28 04:01:24,79
140,6527369039766226,21096,2023-12-10 17:39:35,18
141,4750861640500519,34238,2022-12-28 10:05:47,78
142,5656403746622732,34619,2023-06-19 16:50:12,14
143,0684240415604324,24686,2023-03-22 01:49:22,38
144,7383023771944654,29061,2023-11-27 20:02:38,73
145,3133935504405905,42034,2022-12-23 05:54:05,41
146,4400090292719208,29978,2023-07-02 20:47:23,14
147,9780555794981014,8348,2023-08-28 17:47:02,64
148,7391812240512989,29049,2023-07-21 23:18:26,23
149,6390498079069920,14142,2023-07-22 22:58:56,95
150,2906220058000199,46267,2023-11-18 01:13:03,15
151,3675727514939284,46241,2023-03-06 18:31:24,81
152,3750469882598634,8500,2023-03-12 01:59:30,74
153,4159484771945165,12050,2023-01-18 04:42:40,75
154,5331658122938148,36598,2023-10-10 09:29:15,57
155,2646198537357607,14744,2023-10-27 02:45:26,72
156,6771495444698078,30890,2023-11-21 11:19:16,82
157,6617972257629481,3031,2023-11-23 01:24:20,80
158,8041200468941579,17573,2023-08-13 13:30:00,38
159,5931817897459130,6288,2023-10-11 13:56:39,3
160,1868522144274389,18220,2023-06-26 00:16:37,55
161,4611877551717604,47127,2023-09-10 03:57:51,33
162,6838593067803572,2874,2023-07-04 06:47:42,70
163,9771568477759411,31077,2023-05-25 01:10:08,97
164,7263662879509833,38093,2023-06-27 20:01:37,68
165,2185515334866602,43032,2023-04-10 11:09:35,88
166,1266923810066426,27829,2023-01-25 22:49:58,70
167,5196102098453635,40853,2023-02-07 11:22:58,5
168,4982179662001179,4815,2023-05-27 07:46:48,12
169,3260583528899629,12423,2023-11-24 06:01:14,28
170,3292594000924367,42134,2023-07-20 17:04:22,83
171,2998344229322347,43085,2023-05-25 19:18:05,69
172,9761243395200031,11561,2023-12-06 07:19:12,70
173,3412904212426486,15047,2023-01-14 12:41:06,32
174,1210981996776098,5884,2023-12-11 07:18:58,3
175,4210450461665332,24095,2023-01-22 13:55:36,2
176,6617972257629481,20301,2023-05-23 07:30:23,52
177,1266923810066426,4039,2023-01-06 07:55:58,19
178,1956268714655656,45274,2023-01-20 10:09:47,47
179,4773498674739861,39153,2023-05-23 03:02:05,16
180,5739592532482891,9641,2023-10-09 09:57:47,50
181,9083953248826914,45700,2023-02-11 12:56:17,54
182,1616279949608093,32042,2023-09-24 01:25:45,61
183,6126191827264832,47336,2022-12-24 19:36:08,73
184,4006528222239507,16465,2023-10-16 05:17:58,45
185,2943126239058724,40653,2023-06-04 09:10:07,22
186,5241773747372939,26737,2023-05-29 07:27:55,96
187,6748027211744460,21958,2023-09-05 11:19:48,42
188,1922444151031958,48916,2023-05-23 20:21:11,70
189,4289864291464690,26806,2022-12-24 14:19:16,19
190,3192544758675484,5316,2023-06-23 18:19:41,84
191,7334539521633993,20016,2023-12-04 21:46:56,50
192,6279061965387079,1746,2023-11-13 11:03:03,89
193,1267454932877471,28883,2023-04-17 22:00:02,29
194,5739592532482891,799,2023-09-19 12:02:11,85
195,8583989471965934,19261,2023-03-20 23:43:16,79
196,7636058679969499,140,2023-01-12 09:28:55,8
197,8651507834606772,15865,2023-04-28 19:00:57,66
198,3898969647905530,23820,2023-01-09 04:58:04,45
199,6858300496233969,5619,2023-01-29 00:46:28,66
200,4318769451123782,38223,2023-05-01 09:55:59,36
201,2076984564280715,9025,2023-09-07 13:15:41,8
202,4561604846957400,4620,2022-12-24 07:16:04,71
203,7383023771944654,5101,2023-04-26 01:13:53,76
204,7494409541090702,17700,2023-04-26 23:54:18,19
205,9229921141497949,41110,2023-02-19 23:40:09,75
206,0003511447016344,16220,2022-12-16 18:19:23,77
207,3933287115871484,28770,2023-10-31 08:07:38,70
208,8620479151173800,28135,2023-03-12 09:48:18,96
209,0684240415604324,45119,2023-10-26 23:08:43,50
210,0654594780476370,44404,2023-05-03 22:58:33,15
211,9515079259447072,446,2023-01-09 06:43:17,57
212,4802362382923840,44587,2023-08-01 14:03:45,15
213,8673616049244818,4957,2023-11-24 20:52:06,63
214,9175991326307428,34680,2023-02-06 13:01:11,51
215,8546925067741353,6728,2023-03-03 15:56:44,69
216,4410196373786872,138,2022-12-14 03:34:30,23
217,8787929095346131,42180,2023-03-02 10:14:17,52
218,9229921141497949,2286,2023-08-25 19:56:50,8
219,9546818734405949,40048,2023-08-31 13:20:24,21
220,4203541064593562,11835,2023-09-23 05:07:48,59
221,3600810422821505,40458,2023-12-12 06:41:16,62
222,1632305611989052,46801,2023-11-27 18:28:59,41
223,1461795956110289,19658,2023-01-29 17:38:46,84
224,0025040216396837,23910,2023-09-29 09:05:56,23
225,1735645127582176,2500,2022-12-15 16:24:53,90
226,9277095260429216,28389,2023-04-05 18:51:30,35
227,3017823695820767,12848,2023-05-05 05:59:31,1
228,5039317218869431,16279,2023-09-06 15:44:35,79
229,3106769050074327,7669,2022-12-22 11:12:16,27
230,2155427633116279,25207,2023-12-10 03:39:51,40
231,0334523532675926,2051,2023-08-04 19:02:38,54
232,2203190391103323,40401,2023-03-13 07:53:28,48
233,0066802156346859,30126,2023-11-11 13:32:48,23
234,6349505060980006,26745,2023-02-05 23:56:11,38
235,2881820286937640,36847,2023-02-23 12:20:19,85
236,7396574727455966,22683,2023-06-07 05:29:04,82
237,8900309547944855,20580,2023-01-25 13:00:36,49
238,8651507834606772,39490,2023-06-16 00:33:32,90
239,7621465546530625,47167,2023-04-25 15:57:09,75
240,4495207663164767,47247,2023-09-13 15:38:44,100
241,1399880320974499,7504,2023-03-23 04:13:25,49
242,2343754692165873,2457,2023-02-01 10:36:26,89
243,6330352430866853,13764,2022-12-23 17:50:03,63
244,2553145901789307,48383,2023-03-03 17:16:11,100
245,2185515334866602,33376,2023-05-02 13:46:12,30
246,1442234225399201,49140,2023-04-21 23:59:55,32
247,1868522144274389,49496,2023-06-14 17:34:53,92
248,7229575013901643,48714,2023-04-05 12:58:39,62
249,3752480154501904,7282,2023-04-06 23:36:02,18
250,3666609759294506,48165,2023-12-11 20:06:17,35
251,4318769451123782,20876,2023-11-19 00:49:37,17
252,0181466457034565,2846,2023-07-15 17:41:22,73
253,6806850509789630,37804,2023-08-16 20:36:49,91
254,5931817897459130,24701,2023-04-18 21:09:46,22
255,6347680647266699,30546,2023-02-22 08:52:42,6
256,3760314122705861,30764,2023-07-31 04:47:27,48
257,3675727514939284,20136,2023-01-13 06:38:39,50
258,2197859380378628,28420,2023-01-21 17:34:07,67
259,2696116116207660,27602,2023-07-07 23:29:37,61
260,4584467116323458,20043,2023-07-26 11:21:30,32
261,0869141314562087,27369,2023-04-11 10:00:14,38
262,7811225638455480,29434,2023-02-11 15:13:54,74
263,6734856197712184,31718,2023-05-08 03:30:46,50
264,8909996474983423,21841,2023-11-26 12:23:24,94
265,4344152706704896,39732,2023-02-07 22:54:26,17
266,9229921141497949,20276,2023-01-30 12:44:01,74
267,7826528592113137,9453,2023-10-21 06:54:38,67
268,7443075851149635,20229,2023-03-09 10:15:31,11
269,9277095260429216,9271,2023-04-14 13:46:16,33
270,2622812379332365,10875,2023-06-28 07:27:05,47
271,1210981996776098,46219,2023-03-17 04:52:13,62
272,6349505060980006,2762,2023-03-14 19:15:16,71
273,8651507834606772,12144,2023-10-02 01:14:24,87
274,9290410602341309,27582,2023-02-22 07:56:09,82
275,7696814731425120,17679,2023-04-04 22:19:15,2
276,2089878742065460,38851,2023-05-06 13:02:47,45
277,6604876475938242,43408,2023-05-24 22:07:58,82
278,4930239062278085,21648,2023-08-27 10:52:47,13
279,0003511447016344,12688,2022-12-30 20:35:01,12
