card_number,user_id,expiration_date,card_type
6604876475938242,387,2030-07-02,Visa
9489241157815659,328,2031-02-07,MasterCard
8778408016097535,361,2024-08-20,Visa
3933287115871484,362,2028-05-08,Visa
8583989471965934,95,2032-08-23,MasterCard
2094711220186848,416,2032-03-19,MasterCard
3969477515917953,125,2030-11-02,Visa
4135256012309891,14,2029-02-08,Visa
3991615109032173,373,2032-01-21,Visa
0869141314562087,21,2030-01-14,Discover
1634579230225841,306,2033-11-15,JCB
2076984564280715,379,2027-08-31,Visa
8423759459924661,1,2032-07-14,Discover
3523376960696027,33,2026-04-26,Amex
2787890075470638,494,2028-09-28,Visa
2066503008913193,448,2026-04-29,Amex
4217610471428512,143,2025-07-24,Visa
0034855909776582,107,2028-03-17,JCB
9402245551590042,77,2033-01-03,Discover
4568241730428146,428,2026-06-13,Amex
4611877551717604,172,2029-03-23,MasterCard
2961113306016884,230,2025-08-17,JCB
9361534926351108,232,2025-03-15,MasterCard
1764303921376582,54,2029-07-25,Discover
7296687577389305,362,2031-12-24,Amex
5082492694711801,116,2033-06-21,MasterCard
0407522758688091,348,2025-08-29,Discover
9163489676993002,155,2029-12-19,Discover
9451744666022345,29,2031-05-02,Visa
7627912560976701,242,2029-04-29,MasterCard
0099251853671097,315,2027-06-05,Amex
1942641830675375,405,2033-05-07,Visa
0074089933188684,485,2032-01-24,Visa
2696116116207660,255,2031-06-24,Amex
4151150552035192,107,2032-10-25,Visa
3104509322717542,15,2028-05-18,MasterCard
5574485291189426,460,2025-01-02,MasterCard
2358332456029061,360,2033-04-13,Visa
2648629645137580,193,2024-03-09,JCB
0657354712141892,408,2025-07-14,JCB
6266237582571734,1,2030-09-25,JCB
9703414892671738,391,2023-12-20,JCB
4014004689671454,447,2032-05-05,MasterCard
9101448518321644,267,2029-08-13,MasterCard
9838168644759221,357,2028-02-05,Visa
6697284576377857,334,2029-06-24,Visa
7427093057608116,4,2025-01-07,Amex
0190443294316756,87,2027-03-14,Amex
6627285232756676,374,2033-08-08,MasterCard
3739060312502394,314,2027-09-20,Visa
8456708869774735,137,2028-01-03,Visa
0025040216396837,99,2026-05-16,Amex
9191558754080351,108,2033-03-09,Discover
5334448647530481,5,2031-07-27,JCB
7706777111312637,314,2025-07-01,Visa
6860237324556184,313,2025-04-25,Discover
3478978443019126,128,2029-05-23,MasterCard
4088601641953843,379,2032-08-03,MasterCard
1845357492208855,300,2032-04-09,Visa
2622812379332365,312,2025-10-20,Discover
2719089577403827,415,2029-01-28,JCB
8514296354603053,176,2033-04-29,JCB
3452405980250700,124,2028-11-24,Visa
0351056237625425,373,2026-01-26,JCB
6064887091662082,319,2033-04-05,Discover
2153230282169197,364,2029-08-10,MasterCard
9904560071542738,183,2033-02-20,MasterCard
