transaction_id ,card_number      ,transaction_amount ,transaction_date    ,store_id
             1 ,5087495693320542 ,             24666 ,2023-12-04 01:04:01 ,      57
             2 ,3694815106436719 ,             31938 ,2023-07-12 12:54:58 ,      18
             3 ,3360367908076646 ,             33074 ,2023-12-04 03:19:03 ,      46
             4 ,9210481107607396 ,              7661 ,2023-02-18 17:10:54 ,      97
             5 ,2871729211932636 ,              9005 ,2023-06-06 19:36:43 ,      77
             6 ,3277668118495034 ,             20564 ,2023-01-20 21:36:25 ,      13
             7 ,3360367908076646 ,             37890 ,2023-06-05 19:14:14 ,      76
             8 ,1932158565818523 ,             30400 ,2023-10-11 23:28:37 ,      83
             9 ,2932167342079971 ,             24853 ,2023-05-07 15:14:07 ,      93
            10 ,8719352058236925 ,             47991 ,2023-11-27 11:34:22 ,      81
            11 ,3541119015202628 ,             43953 ,2023-02-20 09:15:45 ,      66
            12 ,7226898417196097 ,             35480 ,2023-06-08 07:39:04 ,      50
            13 ,6599643330551447 ,             14024 ,2023-06-18 10:11:32 ,      12
            14 ,2675932950930820 ,             41306 ,2023-01-31 02:07:33 ,      34
            15 ,8353660554704637 ,             16945 ,2023-04-14 10:01:28 ,      13
            16 ,3360367908076646 ,             12880 ,2023-08-06 19:59:59 ,      13
            17 ,9669155530620399 ,             35358 ,2023-10-14 20:19:00 ,      93
            18 ,5277969439588076 ,              3141 ,2023-10-14 12:22:58 ,       9
            19 ,9210481107607396 ,              6570 ,2023-10-10 06:43:10 ,      33
            20 ,7513183042159048 ,              7699 ,2022-12-24 11:52:49 ,      95
            21 ,7043968684907912 ,             36179 ,2023-08-16 03:42:24 ,      34
            22 ,7513183042159048 ,             34303 ,2023-10-09 11:32:20 ,      29
            23 ,7226898417196097 ,             46060 ,2023-11-01 17:49:40 ,      62
            24 ,5608944810865511 ,              9723 ,2022-12-13 16:53:45 ,      92
            25 ,3715281275320842 ,             24717 ,2023-08-16 05:13:06 ,      25
            26 ,1918925118276431 ,             47308 ,2023-05-20 07:04:13 ,      28
            27 ,1060649904880495 ,             24458 ,2023-08-02 13:49:57 ,      91
            28 ,7422321725107509 ,              2027 ,2023-09-26 08:17:41 ,      41
            29 ,1013196870953054 ,               799 ,2023-02-02 19:02:00 ,      22
            30 ,7422321725107509 ,             44173 ,2023-11-05 18:58:18 ,      84
            31 ,9669155530620399 ,             11588 ,2023-04-22 03:29:56 ,      50
            32 ,9210481107607396 ,             22371 ,2023-05-29 20:00:30 ,      56
            33 ,7369109330871843 ,             14354 ,2023-09-10 14:26:53 ,       7
            34 ,8037751505378720 ,              3486 ,2023-05-25 06:09:46 ,       1
            35 ,0840445243357491 ,             49389 ,2023-04-07 05:25:06 ,      92
