card_number      ,user_id ,expiration_date ,card_type
1377643863119015 ,    351 ,2032-01-09      ,American Express
3597177490425513 ,     10 ,2026-09-03      ,MasterCard
2932167342079971 ,    194 ,2029-09-09      ,Visa
2026116841994250 ,    337 ,2028-07-14      ,JCB
3791591955053294 ,    182 ,2027-11-13      ,MasterCard
8353660554704637 ,    214 ,2027-02-04      ,American Express
6056717210030670 ,    405 ,2028-07-31      ,Discover
2097872414768955 ,    402 ,2025-12-27      ,Discover
3715281275320842 ,    216 ,2028-02-03      ,MasterCard
1905460369848857 ,    245 ,2032-01-04      ,MasterCard
7872589705318974 ,    214 ,2033-03-23      ,Visa
1110472290786493 ,    380 ,2031-05-10      ,American Express
8037751505378720 ,    439 ,2025-11-10      ,American Express
1060649904880495 ,    347 ,2027-10-25      ,American Express
1570450084096434 ,    327 ,2030-10-25      ,Visa
4253494200234939 ,     75 ,2031-12-18      ,JCB
7513183042159048 ,    399 ,2026-03-27      ,American Express
5238973872412100 ,    174 ,2030-04-23      ,MasterCard
3166429708584334 ,     31 ,2033-02-09      ,Discover
3277668118495034 ,    380 ,2028-07-21      ,American Express
0940897700320774 ,    166 ,2032-10-24      ,MasterCard
3870577290727331 ,     51 ,2026-06-06      ,Visa
2209933533475223 ,    371 ,2033-04-28      ,MasterCard
5740636650952011 ,     85 ,2025-10-14      ,JCB
2871729211932636 ,    215 ,2030-12-24      ,JCB
1813906606150855 ,    340 ,2032-11-28      ,JCB
7785287927218850 ,    100 ,2027-02-27      ,Visa
3945254725056173 ,    174 ,2025-12-18      ,American Express
3904563155225308 ,    413 ,2031-10-07      ,JCB
8706072613704595 ,    242 ,2032-06-22      ,JCB
7728551321528768 ,     25 ,2033-04-01      ,JCB
0408014522077241 ,     44 ,2028-05-04      ,JCB
7369109330871843 ,    227 ,2031-12-13      ,JCB
1918925118276431 ,    439 ,2026-08-25      ,Discover
1851407782233377 ,     67 ,2033-02-06      ,American Express
3541119015202628 ,    372 ,2033-03-20      ,American Express
3020525524622379 ,     68 ,2025-05-05      ,American Express
3324388128921962 ,    151 ,2029-03-28      ,JCB
6586411205583485 ,    370 ,2030-02-25      ,American Express
2299887848442786 ,    493 ,2030-10-02      ,MasterCard
5277969439588076 ,    169 ,2031-11-26      ,MasterCard
3064907679509379 ,    423 ,2025-01-13      ,Discover
7102982500489388 ,     83 ,2026-09-13      ,Visa
7985571987858468 ,    458 ,2031-10-19      ,MasterCard
1301334047688378 ,    411 ,2031-07-19      ,American Express
9210481107607396 ,     96 ,2032-12-14      ,Discover
5209853421843168 ,    148 ,2026-09-27      ,JCB
7691529737565087 ,    373 ,2026-10-19      ,Visa
6503705919734612 ,    453 ,2032-01-20      ,MasterCard
8982496378047585 ,    313 ,2028-01-19      ,American Express
5218838801453352 ,    259 ,2026-01-29      ,American Express
8880794885073465 ,    166 ,2028-05-21      ,Discover
0270291061233731 ,    127 ,2029-03-03      ,Discover
1013196870953054 ,    358 ,2025-05-15      ,Visa
8950810227489473 ,    451 ,2031-10-17      ,JCB
5563234145053656 ,    394 ,2033-08-09      ,Visa
1073999836437064 ,    248 ,2029-05-16      ,American Express
6234529030334697 ,    168 ,2033-05-11      ,MasterCard
8719352058236925 ,    496 ,2027-08-22      ,MasterCard
1860074202575714 ,    182 ,2032-06-23      ,American Express
7245051015095552 ,    347 ,2024-12-29      ,Visa
5023848231360305 ,    176 ,2026-04-29      ,American Express
1443797917105959 ,    125 ,2030-03-16      ,MasterCard
6599643330551447 ,    429 ,2028-08-29      ,Discover
3859655602010235 ,    158 ,2029-11-04      ,Visa
6281840291140881 ,    179 ,2025-11-25      ,American Express
9883428451122123 ,    298 ,2025-04-18      ,Discover
6708523116767296 ,     24 ,2028-09-10      ,JCB
1050484072229856 ,    188 ,2030-10-13      ,Visa
9235686290439397 ,    340 ,2029-10-18      ,Discover
7422321725107509 ,    408 ,2025-04-03      ,Visa
6558224565075006 ,    150 ,2030-06-14      ,JCB
2084533081467338 ,    396 ,2031-04-08      ,JCB
7226898417196097 ,    438 ,2030-01-21      ,JCB
9267519709248798 ,    494 ,2030-09-15      ,American Express
3705231114603261 ,    103 ,2028-01-31      ,American Express
3360367908076646 ,    437 ,2033-02-19      ,American Express
8191557756039748 ,     73 ,2026-06-16      ,Visa
0231108479002294 ,    299 ,2026-11-21      ,MasterCard
0840445243357491 ,    253 ,2032-11-23      ,MasterCard
3694815106436719 ,    463 ,2028-05-26      ,Visa
1932158565818523 ,    395 ,2028-03-20      ,JCB
9219223603753179 ,    397 ,2026-07-17      ,American Express
5087495693320542 ,    284 ,2031-07-20      ,JCB
5162345040335074 ,     96 ,2033-07-23      ,American Express
9988555872816014 ,    113 ,2025-11-02      ,JCB
8720379846819516 ,    286 ,2032-02-03      ,JCB
7853657125110618 ,    343 ,2028-11-07      ,Discover
2179713560778982 ,    322 ,2031-01-09      ,Visa
5422575098191337 ,    146 ,2029-12-04      ,Visa
8058268959562166 ,    368 ,2029-01-18      ,American Express
7043968684907912 ,     43 ,2026-04-09      ,Discover
5431652542037140 ,    455 ,2026-09-01      ,Visa
1586693643241562 ,    361 ,2028-03-05      ,Visa
9669155530620399 ,    438 ,2031-03-09      ,American Express
3178164282903532 ,    180 ,2031-03-13      ,Visa
2675932950930820 ,    159 ,2032-06-15      ,American Express
2150804787449586 ,    476 ,2027-10-27      ,Discover
9450312527656824 ,    324 ,2033-05-15      ,American Express
5608944810865511 ,     41 ,2029-02-07      ,MasterCard
